@relation repouso

@attribute Giro_x REAL
@attribute esc_x REAL
@attribute Giro_y REAL
@attribute esc_y REAL
@attribute Giro_z REAL
@attribute esc_z REAL
@attribute Acel_x REAL
@attribute esc_x2 REAL
@attribute Acel_y REAL
@attribute esc_y2 REAL
@attribute Acel_z REAL
@attribute esc_z2 REAL
@attribute Bus_x REAL
@attribute Bus_y REAL
@attribute movimento {repouso, leves, caminhada, monta}

@data
-15076,-0.93359375,-1660,-0.12451171875,4104,0.230224609375,-1814,-1814,3359,25,-1689,-13,-5.48994380564,76.413852038,leves
-15136,-0.9169921875,-1680,-0.104736328125,3752,0.230224609375,-1800,-1800,1485,11,-253,-2,-6.55569284264,77.3671945096,leves
-17352,-1.07055664062,-2312,-0.136962890625,1644,0.13623046875,-504,-504,1675,12,1181,9,-7.80998668867,68.5886240778,leves
-17932,-1.08056640625,-3916,-0.227783203125,1568,0.122314453125,-1152,-1152,2033,15,-847,-7,-12.7610769586,75.8457270761,leves
-15940,-0.977294921875,-544,-0.0244140625,1964,0.1162109375,-2243,-2243,-420,-4,-1152,-9,-1.14268029359,84.0353724915,leves
-16304,-0.98779296875,-1808,-0.119140625,1840,0.111328125,4480,4480,370,2,67,0,-6.53001848148,80.5804236872,leves
-15476,-0.94091796875,-948,-0.05078125,824,0.038330078125,-2875,-2875,1267,9,-2752,-22,-1.25045311813,88.2519017327,leves
-15968,-0.963134765625,-2148,-0.132568359375,1972,0.1240234375,1662,1662,-1217,-10,1339,10,-7.35511287598,80.4959356298,leves
-15712,-0.951416015625,-2796,-0.148193359375,2808,0.168212890625,165,165,-1127,-9,760,5,-7.74038683046,76.6355772736,leves
-15876,-0.963134765625,-680,-0.057373046875,2160,0.31884765625,558,558,-161,-2,422,3,-5.23180081632,81.3405706468,leves
-14768,-0.898681640625,-1660,-0.098388671875,3104,0.20166015625,-78,-78,261,1,252,1,-6.2008641971,75.9953212093,leves
-15544,-0.92919921875,-2000,-0.124755859375,1988,0.11572265625,-272,-272,-731,-6,-445,-4,-6.38490133686,81.1776295109,leves
-16012,-0.9814453125,-2136,-0.150634765625,2668,0.166015625,479,479,506,3,249,1,-8.88373363713,77.1431185099,leves
-15664,-0.968017578125,-1792,-0.101318359375,2244,0.13916015625,-839,-839,386,2,-345,-3,-5.95425536704,78.3140976674,leves
-15528,-0.945556640625,-2496,-0.153564453125,2528,0.154541015625,1505,1505,880,6,-21,-1,-7.60266906158,78.1912694833,leves
-15668,-0.93994140625,-1880,-0.1171875,2688,0.141357421875,-1229,-1229,280,2,-544,-5,-6.61131641498,78.2743335301,leves
-15648,-0.9501953125,-2684,-0.169677734375,3036,0.177490234375,304,304,973,7,-313,-3,-8.66514841858,76.9303947474,leves
-15852,-0.955322265625,-2116,-0.110595703125,2204,0.138427734375,-1544,-1544,184,1,109,0,-7.17951220053,79.6262401246,leves
-15340,-0.93994140625,-1700,-0.102294921875,1856,0.111083984375,1458,1458,12,0,-356,-3,-7.30786872926,80.1160484211,leves
-16076,-0.981201171875,-2732,-0.142578125,2488,0.127197265625,-1626,-1626,501,3,566,4,-8.27346193354,78.8298302889,leves
-17448,-1.05200195312,-3236,-0.18505859375,2232,0.127685546875,3093,3093,-1507,-12,2562,19,-8.77536014659,76.9870548933,leves
-20868,-1.0615234375,-2128,-0.21875,2740,0.15087890625,8683,8683,-13241,-102,-476,-4,-23.1000449657,66.8081705626,leves
-14680,-0.906494140625,-1236,-0.06298828125,3000,0.200927734375,1659,1659,1666,12,-967,-8,-4.17059919319,75.0192238209,leves
-15212,-0.952880859375,-3580,-0.216552734375,4352,0.264404296875,-1487,-1487,1015,7,-149,-2,-12.3652484303,70.2395679612,leves
-15764,-0.93798828125,-2184,-0.129638671875,4052,0.2451171875,163,163,-724,-6,-127,-1,-7.64682982705,73.3610581564,leves
-15444,-0.94091796875,-2672,-0.16455078125,4632,0.296142578125,-705,-705,691,5,-129,-1,-9.92869426727,71.2386219859,leves
-15520,-0.923828125,-2868,-0.1806640625,4528,0.276611328125,-406,-406,737,5,48,0,-10.9358864499,70.7519216984,leves
